occurrence_shops,occurrence_amenities,distribution_shop,distribution_amenities,proximity_shops,proximity_amenities,proximity_transport,correlation_shops_amenities
0,5,NA,-0.636076790720379,NA,363.820514616064,NA,0
0,31,NA,-0.03010614270122,NA,389.85433898383,NA,0
0,20,NA,-0.448655237417846,NA,438.240366551127,NA,0
23,32,NA,-0.0989575292122924,488.724024474029,340.268702527125,NA,0.71875
0,0,NA,NA,NA,NA,NA,NA
0,52,NA,NA,NA,324.079608361688,NA,0
1,48,NA,-0.332803131303597,520.211945699848,423.597292386266,NA,0.0208333333333333
0,0,NA,NA,NA,NA,NA,NA
0,1,NA,NA,NA,286.231199067833,NA,0
0,5,NA,NA,NA,523.003352483275,NA,0
1,76,NA,-0.129823190539062,483.334975055263,336.182332122181,NA,0.0131578947368421
0,16,NA,-0.254847074932002,NA,476.780089410092,NA,0
0,1,NA,NA,NA,499.004309019561,NA,0
0,32,NA,-0.453090006923268,NA,227.876514369668,NA,0
0,11,NA,NA,NA,497.056825476095,NA,0
0,0,NA,NA,NA,NA,NA,NA
0,0,NA,NA,NA,NA,NA,NA
0,0,NA,NA,NA,NA,NA,NA
0,0,NA,NA,NA,NA,NA,NA
0,0,NA,NA,NA,NA,NA,NA
0,0,NA,NA,NA,NA,NA,NA
0,0,NA,NA,NA,NA,NA,NA
0,25,NA,-0.855974815947195,NA,351.712947114834,NA,0
0,0,NA,NA,NA,NA,NA,NA
0,0,NA,NA,NA,NA,NA,NA
0,0,NA,NA,NA,NA,NA,NA
0,0,NA,NA,NA,NA,NA,NA
0,8,NA,NA,NA,502.171445375471,NA,0
0,16,NA,NA,NA,466.828405445803,NA,0
0,35,NA,-0.261919049553358,NA,490.501141622081,NA,0
1,27,NA,-0.0629529531293872,333.873486809366,217.813748755923,NA,0.037037037037037
2,29,NA,NA,413.665014690311,451.457522307449,NA,0.0689655172413793
8,33,-0.272045368527986,-0.0430045610097901,354.026621893815,467.750187091588,NA,0.242424242424242
